TRACT,meanHSize,percent_bachelorPlus,totalRace1,totalRace2,meanvalence
1011.1,2.87,19.4,2319,1244,5.863903051
1011.22,2.7,27.2,2175,304,5.963173765
1012.1,2.53,16.6,2078,2434,5.623311627
1012.2,2.49,19.8,1370,509,5.687385643
1013,2.84,31,3116,365,5.687330574
1014,2.73,27.7,2379,739,5.812804255
1021.03,2.72,38.1,1238,322,5.901084656
1021.04,2.51,43.9,2092,454,5.859435399
1021.05,3.37,16.1,381,1088,5.79375437
1021.07,2.94,28.7,1866,833,5.869520332
1031.01,3.03,25.2,1501,607,6.041862053
1031.02,3,23.3,2460,988,5.813826043
1032,2.76,24.1,2815,1914,5.94791728
1033,2.72,41.8,2340,299,5.776625734
1034,2.74,26.5,3580,1149,5.816455421
1041.03,4.93,12.7,216,2287,5.979344983
1041.05,3.82,16.4,346,3452,5.751513415
1041.08,,13.5,187,2935,5.840157361
1041.24,3.28,30.3,1163,1872,5.776091302
1042.03,4.67,5,23,3089,5.765700261
1042.04,4.13,10.5,357,1907,5.807784269
1043.1,6.01,4.5,46,3644,5.775798461
1043.2,4.55,7,88,3955,5.782129773
1044.01,5.26,5.9,51,2740,5.980282707
1044.03,4.62,11,80,2263,5.722385092
1044.04,4.59,3.5,35,1870,5.722627134
1045,4.95,3.5,25,2356,5.677915858
1046.1,4.75,3.6,41,2506,5.892717554
1046.2,4.75,3.5,35,2584,5.909456349
1047.01,4.38,6.8,8,2507,5.715044325
1047.03,3.89,12,56,1380,5.886849291
1047.04,3.98,14.4,199,2438,6.136376438
1048.1,5.55,5.8,179,4255,5.738275082
1048.21,4.29,10.4,169,2192,5.66213464
1048.22,4.19,8.2,51,1681,5.911226403
1060.1,3.24,22.2,473,1604,5.883899807
1060.2,4.39,16.5,780,3962,5.808010144
1061.11,3.54,24.3,924,2561,5.868411399
1061.12,3.88,23.2,887,3192,5.882206164
1061.13,3.6,22.1,454,1994,5.887201072
1061.14,3.86,15.3,352,3642,5.688010101
1064.03,4.64,5.6,264,2510,5.799261806
1064.05,3.51,10.4,399,2080,5.845463588
1064.06,3.51,23.2,1082,2661,5.889700117
1064.07,3.37,11.7,499,1334,5.930472914
1064.08,3.99,9.5,106,2419,5.807031291
1065.1,3.12,28.5,899,2719,5.855457048
1065.2,4.34,8.3,675,3859,5.730317269
1066.03,3.29,54,1541,400,5.805882884
1066.04,4.02,12.2,415,2868,5.844219054
1066.41,2.97,58.6,1179,188,5.936354326
1066.42,3.02,35.3,1694,681,5.804299019
1066.43,3.55,54.8,2293,428,5.891875787
1066.45,2.9,58.4,2053,263,5.915667179
1066.46,3.61,30.6,1561,982,5.797595604
1066.48,4.02,7.6,95,2752,5.76268759
1066.49,3.75,30.9,256,1218,5.93265073
1070.1,4.21,8.9,114,2372,5.81120496
1070.2,4.57,16.8,215,3886,5.877179411
1081.01,2.99,53,1226,318,5.901752023
1081.02,3.06,58.8,1762,274,5.819565179
